"Quarter","Region","Sex","Age","Employed, % (of population)","Underemployed, % (of employed)","Unemployment rate, % (of labour force)"
"2018Q4","Capital region","Males and females","16-74",79.2,3.6,2.4
"2018Q4","Capital region","Males and females","16-24",71.6,11.0,5.1
"2018Q4","Capital region","Males and females","25-54",89.3,2.6,1.5
"2018Q4","Capital region","Males and females","55-74",62.9,1.1,3.1
"2018Q4","Capital region","Males and females","16-64",85.0,3.8,2.3
"2018Q4","Capital region","Males and females","25-64",88.1,2.3,1.8
"2018Q4","Capital region","Males","16-74",82.3,2.2,2.2
"2018Q4","Capital region","Males","16-24",70.2,10.9,3.5
"2018Q4","Capital region","Males","25-54",91.2,0.7,2.0
"2018Q4","Capital region","Males","55-74",69.7,0.5,1.9
"2018Q4","Capital region","Males","16-64",87.0,2.3,2.2
"2018Q4","Capital region","Males","25-64",90.8,0.7,1.9
"2018Q4","Capital region","Females","16-74",76.1,5.2,2.7
"2018Q4","Capital region","Females","16-24",72.9,11.2,6.5
"2018Q4","Capital region","Females","25-54",87.3,4.7,0.9
"2018Q4","Capital region","Females","55-74",56.7,1.7,4.5
"2018Q4","Capital region","Females","16-64",82.9,5.4,2.4
"2018Q4","Capital region","Females","25-64",85.3,4.2,1.5
"2018Q4","Outside Capital region","Males and females","16-74",77.4,3.7,2.4
"2018Q4","Outside Capital region","Males and females","16-24",70.3,15.9,5.9
"2018Q4","Outside Capital region","Males and females","25-54",88.0,1.9,2.0
"2018Q4","Outside Capital region","Males and females","55-74",60.5,1.9,1.3
"2018Q4","Outside Capital region","Males and females","16-64",83.4,3.9,2.5
"2018Q4","Outside Capital region","Males and females","25-64",85.8,2.0,2.0
"2018Q4","Outside Capital region","Males","16-74",80.0,2.2,3.0
"2018Q4","Outside Capital region","Males","16-24",65.8,16.4,8.8
"2018Q4","Outside Capital region","Males","25-54",89.9,0.3,2.2
"2018Q4","Outside Capital region","Males","55-74",68.6,0.0,2.0
"2018Q4","Outside Capital region","Males","16-64",84.9,2.4,3.3
"2018Q4","Outside Capital region","Males","25-64",88.8,0.3,2.4
"2018Q4","Outside Capital region","Females","16-74",74.5,5.5,1.5
"2018Q4","Outside Capital region","Females","16-24",76.4,15.4,2.2
"2018Q4","Outside Capital region","Females","25-54",85.9,3.7,1.8
"2018Q4","Outside Capital region","Females","55-74",50.6,5.0,0.0
"2018Q4","Outside Capital region","Females","16-64",81.5,5.7,1.6
"2018Q4","Outside Capital region","Females","25-64",82.4,4.2,1.4
"2019Q1","Total","Males and females","16-74",78.4,3.2,3.0
"2019Q1","Total","Males and females","16-24",70.1,11.9,7.3
"2019Q1","Total","Males and females","25-54",88.4,2.1,2.4
"2019Q1","Total","Males and females","55-74",62.7,1.0,1.9
"2019Q1","Total","Males and females","16-64",83.8,3.4,3.1
"2019Q1","Total","Males and females","25-64",86.8,1.9,2.3
"2019Q1","Total","Males","16-74",80.9,2.2,3.8
"2019Q1","Total","Males","16-24",63.6,9.2,11.7
"2019Q1","Total","Males","25-54",90.3,1.2,2.6
"2019Q1","Total","Males","55-74",71.2,1.3,2.2
"2019Q1","Total","Males","16-64",85.0,2.4,3.9
"2019Q1","Total","Males","25-64",89.6,1.3,2.6
"2019Q1","Total","Females","16-74",75.7,4.3,2.1
"2019Q1","Total","Females","16-24",77.3,14.3,2.9
"2019Q1","Total","Females","25-54",86.3,3.1,2.2
"2019Q1","Total","Females","55-74",54.1,0.7,1.3
"2019Q1","Total","Females","16-64",82.6,4.5,2.1
"2019Q1","Total","Females","25-64",83.7,2.6,2.0
"2019Q1","Capital region","Males and females","16-74",78.7,3.4,2.9
"2019Q1","Capital region","Males and females","16-24",69.0,12.6,7.1
"2019Q1","Capital region","Males and females","25-54",88.8,2.2,2.2
"2019Q1","Capital region","Males and females","55-74",63.5,0.6,1.7
"2019Q1","Capital region","Males and females","16-64",84.1,3.6,2.9
"2019Q1","Capital region","Males and females","25-64",87.6,1.9,2.1
"2019Q1","Capital region","Males","16-74",81.1,2.4,3.4
"2019Q1","Capital region","Males","16-24",63.9,10.3,11.0
"2019Q1","Capital region","Males","25-54",90.6,1.3,2.1
"2019Q1","Capital region","Males","55-74",70.4,1.0,2.4
"2019Q1","Capital region","Males","16-64",85.1,2.5,3.5
"2019Q1","Capital region","Males","25-64",89.8,1.3,2.2
"2019Q1","Capital region","Females","16-74",76.2,4.5,2.3
"2019Q1","Capital region","Females","16-24",74.0,14.7,3.5
"2019Q1","Capital region","Females","25-54",86.9,3.3,2.4
"2019Q1","Capital region","Females","55-74",57.1,0.0,1.0
"2019Q1","Capital region","Females","16-64",83.0,4.7,2.3
"2019Q1","Capital region","Females","25-64",85.2,2.6,2.0
"2019Q1","Outside Capital region","Males and females","16-74",77.8,2.9,3.2
"2019Q1","Outside Capital region","Males and females","16-24",72.5,10.4,7.7
"2019Q1","Outside Capital region","Males and females","25-54",87.7,1.8,2.7
"2019Q1","Outside Capital region","Males and females","55-74",61.5,1.8,2.1
"2019Q1","Outside Capital region","Males and females","16-64",83.4,3.1,3.4
"2019Q1","Outside Capital region","Males and females","25-64",85.5,1.9,2.7
"2019Q1","Outside Capital region","Males","16-74",80.5,2.0,4.4
"2019Q1","Outside Capital region","Males","16-24",63.1,7.4,13.0
"2019Q1","Outside Capital region","Males","25-54",89.8,1.2,3.5
"2019Q1","Outside Capital region","Males","55-74",72.3,1.5,2.0
"2019Q1","Outside Capital region","Males","16-64",84.8,2.2,4.8
"2019Q1","Outside Capital region","Males","25-64",89.4,1.4,3.4
"2019Q1","Outside Capital region","Females","16-74",74.6,4.1,1.7
"2019Q1","Outside Capital region","Females","16-24",85.3,13.5,1.7
"2019Q1","Outside Capital region","Females","25-54",85.3,2.6,1.7
"2019Q1","Outside Capital region","Females","55-74",48.5,2.1,2.1
"2019Q1","Outside Capital region","Females","16-64",81.8,4.2,1.8
"2019Q1","Outside Capital region","Females","25-64",81.2,2.6,1.8
"2019Q2","Total","Males and females","16-74",79.2,3.1,4.4
"2019Q2","Total","Males and females","16-24",78.3,10.0,10.5
"2019Q2","Total","Males and females","25-54",88.2,1.9,3.7
"2019Q2","Total","Males and females","55-74",61.6,1.6,1.8
"2019Q2","Total","Males and females","16-64",85.1,3.2,4.6
"2019Q2","Total","Males and females","25-64",86.6,1.9,3.4
"2019Q2","Total","Males","16-74",82.8,2.0,4.9
"2019Q2","Total","Males","16-24",76.5,8.5,13.4
"2019Q2","Total","Males","25-54",90.9,0.9,3.6
"2019Q2","Total","Males","55-74",69.6,0.6,2.4
"2019Q2","Total","Males","16-64",87.6,2.1,5.1
"2019Q2","Total","Males","25-64",90.0,0.9,3.4
"2019Q2","Total","Females","16-74",75.3,4.4,3.8
"2019Q2","Total","Females","16-24",80.3,11.6,7.4
"2019Q2","Total","Females","25-54",85.2,2.9,3.8
"2019Q2","Total","Females","55-74",53.5,2.9,1.1
"2019Q2","Total","Females","16-64",82.4,4.5,4.0
"2019Q2","Total","Females","25-64",82.9,3.0,3.2
"2019Q2","Capital region","Males and females","16-74",79.7,3.4,5.0
"2019Q2","Capital region","Males and females","16-24",77.7,12.5,10.4
"2019Q2","Capital region","Males and females","25-54",88.0,2.0,4.6
"2019Q2","Capital region","Males and females","55-74",62.7,0.8,1.9
"2019Q2","Capital region","Males and females","16-64",85.4,3.6,5.2
"2019Q2","Capital region","Males and females","25-64",87.1,1.8,4.1
"2019Q2","Capital region","Males","16-74",82.5,2.7,5.6
"2019Q2","Capital region","Males","16-24",74.8,11.3,14.2
"2019Q2","Capital region","Males","25-54",90.4,1.5,4.3
"2019Q2","Capital region","Males","55-74",69.5,0.5,3.0
"2019Q2","Capital region","Males","16-64",87.1,2.9,5.8
"2019Q2","Capital region","Males","25-64",89.8,1.4,4.1
"2019Q2","Capital region","Females","16-74",76.9,4.2,4.4
"2019Q2","Capital region","Females","16-24",80.6,13.6,6.6
"2019Q2","Capital region","Females","25-54",85.6,2.6,4.9
"2019Q2","Capital region","Females","55-74",56.0,1.1,0.5
"2019Q2","Capital region","Females","16-64",83.6,4.3,4.6
"2019Q2","Capital region","Females","25-64",84.3,2.3,4.1
"2019Q2","Outside Capital region","Males and females","16-74",78.3,2.4,3.4
"2019Q2","Outside Capital region","Males and females","16-24",79.4,5.5,10.9
"2019Q2","Outside Capital region","Males and females","25-54",88.4,1.5,2.0
"2019Q2","Outside Capital region","Males and females","55-74",60.0,2.9,1.7
"2019Q2","Outside Capital region","Males and females","16-64",84.6,2.6,3.5
"2019Q2","Outside Capital region","Males and females","25-64",85.7,2.0,2.0
"2019Q2","Outside Capital region","Males","16-74",83.4,0.8,3.8
"2019Q2","Outside Capital region","Males","16-24",79.3,4.4,12.2
"2019Q2","Outside Capital region","Males","25-54",91.8,0.0,2.4
"2019Q2","Outside Capital region","Males","55-74",69.7,0.8,1.5
"2019Q2","Outside Capital region","Males","16-64",88.4,0.9,4.0
"2019Q2","Outside Capital region","Males","25-64",90.4,0.2,2.3
"2019Q2","Outside Capital region","Females","16-74",72.4,4.6,2.8
"2019Q2","Outside Capital region","Females","16-24",79.6,7.0,9.0
"2019Q2","Outside Capital region","Females","25-54",84.3,3.5,1.5
"2019Q2","Outside Capital region","Females","55-74",49.9,6.0,1.9
"2019Q2","Outside Capital region","Females","16-64",80.2,4.7,2.9
"2019Q2","Outside Capital region","Females","25-64",80.3,4.3,1.6
"2019Q3","Total","Males and females","16-74",78.0,2.7,3.5
"2019Q3","Total","Males and females","16-24",72.9,7.5,7.6
"2019Q3","Total","Males and females","25-54",87.3,2.0,3.3
"2019Q3","Total","Males and females","55-74",61.8,1.4,1.0
"2019Q3","Total","Males and females","16-64",83.8,2.8,3.6
"2019Q3","Total","Males and females","25-64",86.2,2.0,2.8
"2019Q3","Total","Males","16-74",81.4,1.9,3.3
"2019Q3","Total","Males","16-24",71.4,6.9,8.3
"2019Q3","Total","Males","25-54",90.3,1.3,2.8
"2019Q3","Total","Males","55-74",68.2,0.3,1.2
"2019Q3","Total","Males","16-64",86.4,2.0,3.4
"2019Q3","Total","Males","25-64",89.7,1.1,2.5
"2019Q3","Total","Females","16-74",74.4,3.7,3.7
"2019Q3","Total","Females","16-24",74.5,8.1,6.9
"2019Q3","Total","Females","25-54",84.1,2.9,3.9
"2019Q3","Total","Females","55-74",55.3,2.8,0.7
"2019Q3","Total","Females","16-64",81.0,3.8,3.9
"2019Q3","Total","Females","25-64",82.4,2.9,3.2
"2019Q3","Capital region","Males and females","16-74",78.2,2.7,3.8
"2019Q3","Capital region","Males and females","16-24",72.2,7.4,6.8
"2019Q3","Capital region","Males and females","25-54",86.7,2.0,3.9
"2019Q3","Capital region","Males and females","55-74",62.9,1.3,1.0
"2019Q3","Capital region","Males and females","16-64",83.7,2.8,3.9
"2019Q3","Capital region","Males and females","25-64",86.2,1.9,3.4
"2019Q3","Capital region","Males","16-74",81.0,2.2,3.6
"2019Q3","Capital region","Males","16-24",71.3,7.8,6.2
"2019Q3","Capital region","Males","25-54",89.1,1.7,4.0
"2019Q3","Capital region","Males","55-74",69.0,0.0,0.9
"2019Q3","Capital region","Males","16-64",85.7,2.3,3.8
"2019Q3","Capital region","Males","25-64",89.0,1.4,3.3
"2019Q3","Capital region","Females","16-74",75.3,3.2,4.0
"2019Q3","Capital region","Females","16-24",73.2,7.0,7.4
"2019Q3","Capital region","Females","25-54",84.3,2.4,3.9
"2019Q3","Capital region","Females","55-74",56.8,2.9,1.1
"2019Q3","Capital region","Females","16-64",81.5,3.2,4.1
"2019Q3","Capital region","Females","25-64",83.4,2.5,3.4
"2019Q3","Outside Capital region","Males and females","16-74",77.6,2.8,2.9
"2019Q3","Outside Capital region","Males and females","16-24",74.3,7.6,9.2
"2019Q3","Outside Capital region","Males and females","25-54",88.5,2.1,2.1
"2019Q3","Outside Capital region","Males and females","55-74",60.2,1.6,0.9
"2019Q3","Outside Capital region","Males and females","16-64",84.1,2.9,3.0
"2019Q3","Outside Capital region","Males and females","25-64",86.1,2.1,1.8
"2019Q3","Outside Capital region","Males","16-74",82.0,1.3,2.6
"2019Q3","Outside Capital region","Males","16-24",71.7,5.2,12.1
"2019Q3","Outside Capital region","Males","25-54",92.5,0.7,0.8
"2019Q3","Outside Capital region","Males","55-74",67.1,0.8,1.5
"2019Q3","Outside Capital region","Males","16-64",87.7,1.4,2.7
"2019Q3","Outside Capital region","Males","25-64",91.0,0.8,1.1
"2019Q3","Outside Capital region","Females","16-74",72.7,4.6,3.2
"2019Q3","Outside Capital region","Females","16-24",77.2,10.2,6.0
"2019Q3","Outside Capital region","Females","25-54",83.6,4.0,3.8
"2019Q3","Outside Capital region","Females","55-74",53.3,2.7,0.0
"2019Q3","Outside Capital region","Females","16-64",80.0,4.8,3.4
"2019Q3","Outside Capital region","Females","25-64",80.6,3.8,2.8
"2019Q4","Total","Males and females","16-74",77.0,3.0,3.3
"2019Q4","Total","Males and females","16-24",64.1,9.1,9.2
"2019Q4","Total","Males and females","25-54",88.5,2.3,2.5
"2019Q4","Total","Males and females","55-74",60.6,1.5,1.9
"2019Q4","Total","Males and females","16-64",82.6,3.1,3.3
"2019Q4","Total","Males and females","25-64",86.5,2.2,2.3
"2019Q4","Total","Males","16-74",79.8,1.9,3.5
"2019Q4","Total","Males","16-24",57.0,9.2,13.8
"2019Q4","Total","Males","25-54",91.1,1.0,2.2
"2019Q4","Total","Males","55-74",68.7,0.8,1.8
"2019Q4","Total","Males","16-64",84.1,2.0,3.7
"2019Q4","Total","Males","25-64",89.9,1.0,2.1
"2019Q4","Total","Females","16-74",73.9,4.3,3.0
"2019Q4","Total","Females","16-24",71.9,9.1,4.9
"2019Q4","Total","Females","25-54",85.5,3.8,2.9
"2019Q4","Total","Females","55-74",52.4,2.3,1.9
"2019Q4","Total","Females","16-64",80.9,4.4,3.0
"2019Q4","Total","Females","25-64",82.8,3.5,2.6
"2019Q4","Capital region","Males and females","16-74",77.3,3.0,3.8
"2019Q4","Capital region","Males and females","16-24",61.9,10.8,10.9
"2019Q4","Capital region","Males and females","25-54",87.9,1.8,2.8
"2019Q4","Capital region","Males and females","55-74",62.6,1.9,2.0
"2019Q4","Capital region","Males and females","16-64",82.2,3.1,3.9
"2019Q4","Capital region","Males and females","25-64",86.8,1.9,2.7
"2019Q4","Capital region","Males","16-74",79.6,2.1,4.6
"2019Q4","Capital region","Males","16-24",54.2,13.0,16.6
"2019Q4","Capital region","Males","25-54",90.7,0.6,3.0
"2019Q4","Capital region","Males","55-74",70.0,1.0,2.2
"2019Q4","Capital region","Males","16-64",83.2,2.3,4.8
"2019Q4","Capital region","Males","25-64",89.9,0.8,2.9
"2019Q4","Capital region","Females","16-74",74.8,4.0,2.9
"2019Q4","Capital region","Females","16-24",70.7,8.9,5.2
"2019Q4","Capital region","Females","25-54",84.9,3.2,2.7
"2019Q4","Capital region","Females","55-74",55.2,3.0,1.8
"2019Q4","Capital region","Females","16-64",81.1,4.1,2.9
"2019Q4","Capital region","Females","25-64",83.4,3.2,2.5
"2019Q4","Outside Capital region","Males and females","16-74",76.4,3.0,2.3
"2019Q4","Outside Capital region","Males and females","16-24",68.8,5.8,5.8
"2019Q4","Outside Capital region","Males and females","25-54",89.6,3.3,1.8
"2019Q4","Outside Capital region","Males and females","55-74",57.7,0.7,1.6
"2019Q4","Outside Capital region","Males and females","16-64",83.2,3.1,2.2
"2019Q4","Outside Capital region","Males and females","25-64",86.0,2.7,1.6
"2019Q4","Outside Capital region","Males","16-74",80.1,1.5,1.5
"2019Q4","Outside Capital region","Males","16-24",63.2,1.7,7.7
"2019Q4","Outside Capital region","Males","25-54",92.0,1.8,0.5
"2019Q4","Outside Capital region","Males","55-74",66.9,0.6,1.2
"2019Q4","Outside Capital region","Males","16-64",85.6,1.4,1.5
"2019Q4","Outside Capital region","Males","25-64",89.8,1.4,0.6
"2019Q4","Outside Capital region","Females","16-74",72.3,4.8,3.1
"2019Q4","Outside Capital region","Females","16-24",74.5,9.3,4.2
"2019Q4","Outside Capital region","Females","25-54",86.9,5.1,3.3
"2019Q4","Outside Capital region","Females","55-74",48.2,1.0,2.1
"2019Q4","Outside Capital region","Females","16-64",80.6,5.0,3.0
"2019Q4","Outside Capital region","Females","25-64",81.8,4.2,2.8
"2020Q1","Total","Males and females","16-74",76.3,4.1,3.6
"2020Q1","Total","Males and females","16-24",64.0,13.9,6.9
"2020Q1","Total","Males and females","25-54",87.1,2.7,3.5
"2020Q1","Total","Males and females","55-74",60.7,2.3,1.9
"2020Q1","Total","Males and females","16-64",81.7,4.1,3.7
"2020Q1","Total","Males and females","25-64",85.4,2.6,3.2
"2020Q1","Total","Males","16-74",79.5,3.3,3.4
"2020Q1","Total","Males","16-24",58.5,15.4,7.9
"2020Q1","Total","Males","25-54",90.2,1.9,2.9
"2020Q1","Total","Males","55-74",68.7,1.0,2.4
"2020Q1","Total","Males","16-64",83.6,3.4,3.5
"2020Q1","Total","Males","25-64",89.0,1.7,2.8
"2020Q1","Total","Females","16-74",72.8,5.1,3.9
"2020Q1","Total","Females","16-24",69.9,12.6,5.9
"2020Q1","Total","Females","25-54",83.8,3.7,4.2
"2020Q1","Total","Females","55-74",52.6,4.1,1.2
"2020Q1","Total","Females","16-64",79.5,5.0,4.0
"2020Q1","Total","Females","25-64",81.5,3.6,3.7
"2020Q1","Capital region","Males and females","16-74",77.6,4.3,3.6
"2020Q1","Capital region","Males and females","16-24",65.5,14.6,7.9
"2020Q1","Capital region","Males and females","25-54",88.0,2.7,3.1
"2020Q1","Capital region","Males and females","55-74",62.2,2.5,2.0
"2020Q1","Capital region","Males and females","16-64",82.8,4.4,3.7
"2020Q1","Capital region","Males and females","25-64",86.9,2.6,2.9
"2020Q1","Capital region","Males","16-74",80.4,3.9,3.7
"2020Q1","Capital region","Males","16-24",60.0,14.7,9.1
"2020Q1","Capital region","Males","25-54",90.6,2.5,2.8
"2020Q1","Capital region","Males","55-74",70.1,1.7,3.1
"2020Q1","Capital region","Males","16-64",83.9,4.0,3.8
"2020Q1","Capital region","Males","25-64",89.5,2.3,2.9
"2020Q1","Capital region","Females","16-74",74.7,4.9,3.5
"2020Q1","Capital region","Females","16-24",71.4,14.6,6.8
"2020Q1","Capital region","Females","25-54",85.2,2.9,3.5
"2020Q1","Capital region","Females","55-74",54.8,3.4,0.6
"2020Q1","Capital region","Females","16-64",81.7,4.8,3.6
"2020Q1","Capital region","Females","25-64",84.1,2.9,3.0
"2020Q1","Outside Capital region","Males and females","16-74",73.8,3.6,3.6
"2020Q1","Outside Capital region","Males and females","16-24",60.2,12.2,4.1
"2020Q1","Outside Capital region","Males and females","25-54",85.5,2.7,4.3
"2020Q1","Outside Capital region","Males and females","55-74",58.5,2.1,1.7
"2020Q1","Outside Capital region","Males and females","16-64",79.5,3.6,3.8
"2020Q1","Outside Capital region","Males and females","25-64",82.8,2.5,3.8
"2020Q1","Outside Capital region","Males","16-74",77.9,2.1,2.9
"2020Q1","Outside Capital region","Males","16-24",55.4,17.3,4.8
"2020Q1","Outside Capital region","Males","25-54",89.3,0.8,3.3
"2020Q1","Outside Capital region","Males","55-74",66.8,0.0,1.3
"2020Q1","Outside Capital region","Males","16-64",83.2,2.3,3.0
"2020Q1","Outside Capital region","Males","25-64",88.2,0.6,2.8
"2020Q1","Outside Capital region","Females","16-74",69.1,5.4,4.6
"2020Q1","Outside Capital region","Females","16-24",66.1,6.9,3.3
"2020Q1","Outside Capital region","Females","25-54",81.1,5.2,5.6
"2020Q1","Outside Capital region","Females","55-74",49.1,5.3,2.3
"2020Q1","Outside Capital region","Females","16-64",75.2,5.3,4.8
"2020Q1","Outside Capital region","Females","25-64",76.7,5.1,5.0
"2020Q2","Total","Males and females","16-74",74.1,4.6,6.9
"2020Q2","Total","Males and females","16-24",66.6,15.2,17.7
"2020Q2","Total","Males and females","25-54",83.5,3.1,5.6
"2020Q2","Total","Males and females","55-74",59.2,2.0,2.7
"2020Q2","Total","Males and females","16-64",79.3,4.8,7.3
"2020Q2","Total","Males and females","25-64",82.1,3.0,5.2
"2020Q2","Total","Males","16-74",78.1,3.6,6.8
"2020Q2","Total","Males","16-24",62.2,14.8,20.3
"2020Q2","Total","Males","25-54",87.5,2.2,5.2
"2020Q2","Total","Males","55-74",67.4,1.4,2.6
"2020Q2","Total","Males","16-64",82.3,3.7,7.2
"2020Q2","Total","Males","25-64",86.6,2.0,4.8
"2020Q2","Total","Females","16-74",69.7,5.8,7.0
"2020Q2","Total","Females","16-24",71.2,15.5,15.2
"2020Q2","Total","Females","25-54",79.0,4.4,6.1
