"Income and taxes","Unit","Education","Sex","Age","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Disposable income","Standard deviation - total","Basic education","Men","16 - 24 years",440,472,468,455,647,501,528,509,580,627,684,735,941,1189,1196,955,1646,1340,1442,1236,1194,1249,1433,1366,1316,1397,1450,1526,1595
"Disposable income","Standard deviation - total","Basic education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Basic education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Basic education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Basic education","Men","75 years and over",389,470,385,1016,435,484,543,613,635,889,975,1524,1465,929,4616,3913,3492,6734,2509,1867,1261,1017,1057,3929,2093,1279,2077,2308,3204
"Disposable income","Standard deviation - total","Basic education","Women","Total",361,412,491,451,419,457,456,609,626,909,1612,3519,3221,5763,2918,5106,5906,11312,6420,3229,2126,2160,1861,4866,5334,4149,5821,9284,6700
"Disposable income","Standard deviation - total","Basic education","Women","16 - 24 years",249,272,281,289,296,314,319,352,488,416,453,505,567,740,667,754,717,958,949,920,953,949,1026,1050,1099,1157,1171,1341,1379
"Disposable income","Standard deviation - total","Basic education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Basic education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Basic education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Basic education","Women","75 years and over",334,401,517,365,321,461,468,597,661,714,3305,2102,5728,7202,2262,5815,3071,6268,2879,2116,1102,1346,1131,1618,8617,2745,2494,13897,4270
"Disposable income","Standard deviation - total","Upper secondary education","Total","Total",798,835,977,825,806,868,966,1083,1296,1545,2903,4275,4314,8782,5709,11126,10683,16683,5110,4234,2969,3125,3212,5733,9324,4850,9061,10089,8138
"Disposable income","Standard deviation - total","Upper secondary education","Total","16 - 24 years",368,387,377,365,387,395,428,447,1579,954,671,591,709,1227,937,736,1048,2986,1133,1046,1055,995,1090,1090,1488,1236,1281,1479,1412
"Disposable income","Standard deviation - total","Upper secondary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Upper secondary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Upper secondary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Upper secondary education","Total","75 years and over",2094,2034,1876,2043,1657,1609,1774,1794,837,2237,1653,2241,3918,7745,5429,8757,8835,15295,3786,3255,1722,6331,2200,13967,8686,4283,8630,14699,5766
"Disposable income","Standard deviation - total","Upper secondary education","Men","Total",893,920,1121,905,886,969,1078,1203,1481,1638,2796,4610,3827,8573,5872,12760,13125,17953,5236,4382,3247,3799,3861,5501,9111,4983,9624,11091,8863
"Disposable income","Standard deviation - total","Upper secondary education","Men","16 - 24 years",433,451,437,429,449,465,512,516,2299,1302,723,691,794,1484,794,836,963,1048,1340,1195,1216,1146,1269,1271,1200,1327,1460,1568,1563
"Disposable income","Standard deviation - total","Upper secondary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Upper secondary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Upper secondary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Upper secondary education","Men","75 years and over",2454,2382,2187,2382,1944,1880,2059,2005,807,2577,1663,1517,2381,5042,6115,9263,9327,14820,3818,2764,1662,7527,2426,1846,9752,4777,10163,13908,4657
"Disposable income","Standard deviation - total","Upper secondary education","Women","Total",419,472,505,518,503,523,602,728,810,1291,3000,3702,4887,9045,5442,8330,5714,14724,4864,3961,2453,1714,1891,5977,9564,4591,8205,8524,6994
"Disposable income","Standard deviation - total","Upper secondary education","Women","16 - 24 years",275,293,295,282,313,309,320,362,410,494,603,470,618,963,1029,623,1093,3866,916,900,896,841,912,909,1683,1152,1103,1394,1263
"Disposable income","Standard deviation - total","Upper secondary education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Upper secondary education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Upper secondary education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Upper secondary education","Women","75 years and over",459,435,561,560,430,564,719,1139,900,1057,1627,3411,6201,11918,3307,7421,7540,16384,3710,4193,1853,1254,1551,25289,5513,2873,3193,16316,7607
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Total","Total",848,878,915,863,842,919,1022,1172,1234,1684,3374,5061,4434,8176,5069,12908,9615,15144,5282,4442,3251,3543,3613,5280,11671,5472,11342,11785,9843
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Total","16 - 24 years",431,447,442,432,479,490,500,537,557,719,675,723,1008,917,857,845,1066,1201,1280,1377,1367,1334,1308,1447,1384,1644,1807,1601,1722
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Total","75 years and over",2114,2050,1895,2064,1674,1624,1790,1778,827,2263,1660,1546,3831,7526,5553,8490,8990,13686,3728,2542,1342,6561,2213,1714,8573,3973,8968,15362,4658
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Men","Total",919,940,983,930,902,998,1105,1255,1320,1678,3067,5151,4205,5570,5515,14257,10885,15784,5467,4591,3367,4144,4161,6273,10627,5220,11234,11655,10142
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Men","16 - 24 years",477,481,481,483,512,525,547,598,609,684,741,775,1048,955,900,893,1140,1307,1375,1524,1350,1492,1386,1601,1518,1682,1987,1717,1872
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Men","75 years and over",2474,2401,2204,2401,1960,1894,2070,2018,802,2601,1671,1511,2194,5094,6196,8743,9474,15057,3811,2743,1407,7676,2435,1836,9969,4322,10362,14223,4673
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Women","Total",419,470,524,477,486,512,610,802,844,1596,3921,4817,4857,11970,3906,9441,6124,13701,4805,4052,2912,1643,1965,2133,13440,5851,11502,11988,9152
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Women","16 - 24 years",275,301,300,283,383,373,338,351,359,721,446,528,884,789,701,640,809,887,983,1037,1351,927,1102,1055,1051,1511,1298,1243,1214
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- Vocational education at the upper secondary level","Women","75 years and over",461,386,561,563,429,557,720,940,883,1001,1630,1631,6317,11613,3415,7794,7580,9070,3503,1905,1155,1011,1462,1331,2107,2859,3167,17985,4620
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Total","Total",525,583,1098,631,619,628,731,751,1407,1135,1426,1909,4223,10338,7051,6909,13081,20348,5022,3884,2431,2259,2432,6673,3884,3738,4186,7534,5263
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Total","16 - 24 years",305,324,321,308,327,334,379,401,1808,1020,653,517,565,1303,952,669,1027,3366,1063,893,925,866,1010,966,1502,1123,1123,1434,1313
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Total","75 years and over",594,1030,686,549,516,769,979,2286,1048,1330,1413,8314,5546,11778,2006,12694,5954,31397,4465,8158,4257,2089,2012,50217,10248,6947,3558,3246,12640
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Men","Total",623,684,1620,682,712,728,875,876,2017,1448,1382,1641,2058,15460,7262,6159,19582,24986,4790,3915,2948,2762,3053,3014,3922,4301,4824,10536,5802
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Men","16 - 24 years",341,366,355,345,374,388,453,445,2822,1522,680,600,584,1671,686,750,802,823,1265,946,1096,924,1177,1073,1029,1158,1187,1472,1393
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Men","75 years and over",626,838,705,554,536,804,1165,941,937,937,1245,1595,6073,2329,1697,19335,2127,5457,3904,3110,4684,1981,2103,1970,2376,10774,3925,2199,4310
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Women","Total",416,472,472,570,523,526,588,626,773,841,1429,2044,5139,4784,6908,7352,5431,16516,5164,3854,1964,1782,1825,8400,3841,3228,3605,3845,4783
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Women","16 - 24 years",273,288,292,277,288,288,312,362,415,429,630,451,551,999,1087,607,1148,4247,904,853,784,821,874,883,1759,1097,1076,1406,1251
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","- General education at the upper secondary level","Women","75 years and over",387,1278,567,498,443,705,727,2960,1115,1573,1540,10991,5144,15369,2195,3674,7500,40315,4830,10239,3975,2153,1951,63724,12831,2966,3338,3704,15284
"Disposable income","Standard deviation - total","Tertiary education","Total","Total",1007,1120,1122,1075,1070,1097,1181,1264,1416,1657,2151,3524,5171,7970,5438,9336,17025,31076,10848,16329,3706,4099,5854,5408,6888,5537,8366,9407,6098
"Disposable income","Standard deviation - total","Tertiary education","Total","16 - 24 years",383,392,390,362,421,396,444,432,520,618,832,754,1107,3839,764,958,897,1169,1237,966,897,1038,1164,1176,1058,1182,1263,1543,1445
"Disposable income","Standard deviation - total","Tertiary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Tertiary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Tertiary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Tertiary education","Total","75 years and over",2241,2645,2171,3341,2005,2190,2329,2414,2532,1732,1945,4392,3189,10875,7777,7909,10088,63436,7141,8865,3944,10209,2916,5505,6305,9816,10254,9797,19241
"Disposable income","Standard deviation - total","Tertiary education","Men","Total",1116,1208,1232,1153,1216,1242,1331,1391,1541,1903,2319,4364,6616,8436,6832,9655,12727,32931,14465,11472,4394,4712,4086,5500,8334,6797,11324,9154,7577
"Disposable income","Standard deviation - total","Tertiary education","Men","16 - 24 years",454,445,446,406,410,469,540,501,547,730,987,781,1359,1766,859,831,974,1357,1403,1060,1028,1169,1318,1255,1179,1271,1346,1730,1511
"Disposable income","Standard deviation - total","Tertiary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Tertiary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Tertiary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Tertiary education","Men","75 years and over",1590,1102,871,737,777,1461,953,1324,1277,1870,1886,4940,3464,11830,8883,5912,10284,75307,7668,10438,4451,9349,3281,6586,7545,10774,12701,11536,22357
"Disposable income","Standard deviation - total","Tertiary education","Women","Total",612,777,772,800,687,729,807,939,1095,1158,1815,2348,3223,7480,3692,8987,19877,29428,6506,19276,2943,3439,6821,5245,5502,4270,5171,9517,4648
