"ISCED level","Type of education","Degrees","Year","Narrow field of study","Total","Males","Females"
"Total","Total","Doctoral degree","2010","Teacher training and educational science",71,19,52
"Total","Total","Doctoral degree","2010","Arts",0,0,0
"Total","Total","Doctoral degree","2010","Humanities",69,30,39
"Total","Total","Doctoral degree","2010","Social and behavioural science",62,23,39
"Total","Total","Doctoral degree","2010","Journalism and information",4,0,4
"Total","Total","Doctoral degree","2010","Business and administration",14,6,8
"Total","Total","Doctoral degree","2010","Law",6,4,2
"Total","Total","Doctoral degree","2010","Life science",48,21,27
"Total","Total","Doctoral degree","2010","Physical science",59,40,19
"Total","Total","Doctoral degree","2010","Mathematics and statistics",8,5,3
"Total","Total","Doctoral degree","2010","Computing",12,10,2
"Total","Total","Doctoral degree","2010","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2010","Engineering and engineering trades",20,12,8
"Total","Total","Doctoral degree","2010","Manufacturing and processing",3,1,2
"Total","Total","Doctoral degree","2010","Architecture and building",7,3,4
"Total","Total","Doctoral degree","2010","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2010","Agriculture, forestry and fishery",3,1,2
"Total","Total","Doctoral degree","2010","Veterinary",0,0,0
"Total","Total","Doctoral degree","2010","Health",83,22,61
"Total","Total","Doctoral degree","2010","Social services",5,0,5
"Total","Total","Doctoral degree","2010","Personal services",4,3,1
"Total","Total","Doctoral degree","2010","Transport services",0,0,0
"Total","Total","Doctoral degree","2010","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2010","Security services",0,0,0
"Total","Total","Doctoral degree","2010","Unknown",0,0,0
"Total","Total","Doctoral degree","2011","Total",452,170,282
"Total","Total","Doctoral degree","2011","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2011","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2011","Personal skills",0,0,0
"Total","Total","Doctoral degree","2011","Teacher training and educational science",63,17,46
"Total","Total","Doctoral degree","2011","Arts",0,0,0
"Total","Total","Doctoral degree","2011","Humanities",74,29,45
"Total","Total","Doctoral degree","2011","Social and behavioural science",62,20,42
"Total","Total","Doctoral degree","2011","Journalism and information",4,0,4
"Total","Total","Doctoral degree","2011","Business and administration",14,7,7
"Total","Total","Doctoral degree","2011","Law",10,5,5
"Total","Total","Doctoral degree","2011","Life science",52,22,30
"Total","Total","Doctoral degree","2011","Physical science",52,35,17
"Total","Total","Doctoral degree","2011","Mathematics and statistics",4,1,3
"Total","Total","Doctoral degree","2011","Computing",8,5,3
"Total","Total","Doctoral degree","2011","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2011","Engineering and engineering trades",21,11,10
"Total","Total","Doctoral degree","2011","Manufacturing and processing",2,0,2
"Total","Total","Doctoral degree","2011","Architecture and building",7,3,4
"Total","Total","Doctoral degree","2011","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2011","Agriculture, forestry and fishery",2,1,1
"Total","Total","Doctoral degree","2011","Veterinary",0,0,0
"Total","Total","Doctoral degree","2011","Health",69,12,57
"Total","Total","Doctoral degree","2011","Social services",5,0,5
"Total","Total","Doctoral degree","2011","Personal services",3,2,1
"Total","Total","Doctoral degree","2011","Transport services",0,0,0
"Total","Total","Doctoral degree","2011","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2011","Security services",0,0,0
"Total","Total","Doctoral degree","2011","Unknown",0,0,0
"Total","Total","Doctoral degree","2012","Total",470,184,286
"Total","Total","Doctoral degree","2012","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2012","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2012","Personal skills",0,0,0
"Total","Total","Doctoral degree","2012","Teacher training and educational science",70,20,50
"Total","Total","Doctoral degree","2012","Arts",0,0,0
"Total","Total","Doctoral degree","2012","Humanities",85,40,45
"Total","Total","Doctoral degree","2012","Social and behavioural science",55,16,39
"Total","Total","Doctoral degree","2012","Journalism and information",4,0,4
"Total","Total","Doctoral degree","2012","Business and administration",17,8,9
"Total","Total","Doctoral degree","2012","Law",9,4,5
"Total","Total","Doctoral degree","2012","Life science",43,18,25
"Total","Total","Doctoral degree","2012","Physical science",42,31,11
"Total","Total","Doctoral degree","2012","Mathematics and statistics",5,2,3
"Total","Total","Doctoral degree","2012","Computing",11,8,3
"Total","Total","Doctoral degree","2012","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2012","Engineering and engineering trades",20,12,8
"Total","Total","Doctoral degree","2012","Manufacturing and processing",5,1,4
"Total","Total","Doctoral degree","2012","Architecture and building",6,2,4
"Total","Total","Doctoral degree","2012","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2012","Agriculture, forestry and fishery",5,2,3
"Total","Total","Doctoral degree","2012","Veterinary",0,0,0
"Total","Total","Doctoral degree","2012","Health",85,18,67
"Total","Total","Doctoral degree","2012","Social services",5,0,5
"Total","Total","Doctoral degree","2012","Personal services",3,2,1
"Total","Total","Doctoral degree","2012","Transport services",0,0,0
"Total","Total","Doctoral degree","2012","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2012","Security services",0,0,0
"Total","Total","Doctoral degree","2012","Unknown",0,0,0
"Total","Total","Doctoral degree","2013","Total",491,186,305
"Total","Total","Doctoral degree","2013","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2013","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2013","Personal skills",0,0,0
"Total","Total","Doctoral degree","2013","Teacher training and educational science",82,19,63
"Total","Total","Doctoral degree","2013","Arts",0,0,0
"Total","Total","Doctoral degree","2013","Humanities",79,32,47
"Total","Total","Doctoral degree","2013","Social and behavioural science",60,21,39
"Total","Total","Doctoral degree","2013","Journalism and information",3,0,3
"Total","Total","Doctoral degree","2013","Business and administration",15,9,6
"Total","Total","Doctoral degree","2013","Law",9,4,5
"Total","Total","Doctoral degree","2013","Life science",42,21,21
"Total","Total","Doctoral degree","2013","Physical science",52,30,22
"Total","Total","Doctoral degree","2013","Mathematics and statistics",3,1,2
"Total","Total","Doctoral degree","2013","Computing",10,7,3
"Total","Total","Doctoral degree","2013","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2013","Engineering and engineering trades",21,15,6
"Total","Total","Doctoral degree","2013","Manufacturing and processing",5,2,3
"Total","Total","Doctoral degree","2013","Architecture and building",7,3,4
"Total","Total","Doctoral degree","2013","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2013","Agriculture, forestry and fishery",3,1,2
"Total","Total","Doctoral degree","2013","Veterinary",0,0,0
"Total","Total","Doctoral degree","2013","Health",89,19,70
"Total","Total","Doctoral degree","2013","Social services",6,0,6
"Total","Total","Doctoral degree","2013","Personal services",5,2,3
"Total","Total","Doctoral degree","2013","Transport services",0,0,0
"Total","Total","Doctoral degree","2013","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2013","Security services",0,0,0
"Total","Total","Doctoral degree","2013","Unknown",0,0,0
"Total","Total","Doctoral degree","2014","Total",519,198,321
"Total","Total","Doctoral degree","2014","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2014","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2014","Personal skills",0,0,0
"Total","Total","Doctoral degree","2014","Teacher training and educational science",71,14,57
"Total","Total","Doctoral degree","2014","Arts",0,0,0
"Total","Total","Doctoral degree","2014","Humanities",92,36,56
"Total","Total","Doctoral degree","2014","Social and behavioural science",61,16,45
"Total","Total","Doctoral degree","2014","Journalism and information",4,0,4
"Total","Total","Doctoral degree","2014","Business and administration",21,11,10
"Total","Total","Doctoral degree","2014","Law",12,6,6
"Total","Total","Doctoral degree","2014","Life science",48,29,19
"Total","Total","Doctoral degree","2014","Physical science",53,30,23
"Total","Total","Doctoral degree","2014","Mathematics and statistics",3,3,0
"Total","Total","Doctoral degree","2014","Computing",8,6,2
"Total","Total","Doctoral degree","2014","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2014","Engineering and engineering trades",21,15,6
"Total","Total","Doctoral degree","2014","Manufacturing and processing",5,2,3
"Total","Total","Doctoral degree","2014","Architecture and building",5,0,5
"Total","Total","Doctoral degree","2014","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2014","Agriculture, forestry and fishery",6,2,4
"Total","Total","Doctoral degree","2014","Veterinary",0,0,0
"Total","Total","Doctoral degree","2014","Health",99,25,74
"Total","Total","Doctoral degree","2014","Social services",5,0,5
"Total","Total","Doctoral degree","2014","Personal services",5,3,2
"Total","Total","Doctoral degree","2014","Transport services",0,0,0
"Total","Total","Doctoral degree","2014","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2014","Security services",0,0,0
"Total","Total","Doctoral degree","2014","Unknown",0,0,0
"Total","Total","Doctoral degree","2015","Total",465,182,283
"Total","Total","Doctoral degree","2015","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2015","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2015","Personal skills",0,0,0
"Total","Total","Doctoral degree","2015","Teacher training and educational science",62,14,48
"Total","Total","Doctoral degree","2015","Arts",0,0,0
"Total","Total","Doctoral degree","2015","Humanities",97,37,60
"Total","Total","Doctoral degree","2015","Social and behavioural science",52,14,38
"Total","Total","Doctoral degree","2015","Journalism and information",2,0,2
"Total","Total","Doctoral degree","2015","Business and administration",15,6,9
"Total","Total","Doctoral degree","2015","Law",10,5,5
"Total","Total","Doctoral degree","2015","Life science",38,22,16
"Total","Total","Doctoral degree","2015","Physical science",53,39,14
"Total","Total","Doctoral degree","2015","Mathematics and statistics",1,1,0
"Total","Total","Doctoral degree","2015","Computing",9,8,1
"Total","Total","Doctoral degree","2015","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2015","Engineering and engineering trades",9,9,0
"Total","Total","Doctoral degree","2015","Manufacturing and processing",4,1,3
"Total","Total","Doctoral degree","2015","Architecture and building",6,1,5
"Total","Total","Doctoral degree","2015","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2015","Agriculture, forestry and fishery",2,0,2
"Total","Total","Doctoral degree","2015","Veterinary",0,0,0
"Total","Total","Doctoral degree","2015","Health",98,23,75
"Total","Total","Doctoral degree","2015","Social services",4,0,4
"Total","Total","Doctoral degree","2015","Personal services",3,2,1
"Total","Total","Doctoral degree","2015","Transport services",0,0,0
"Total","Total","Doctoral degree","2015","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2015","Security services",0,0,0
"Total","Total","Doctoral degree","2015","Unknown",0,0,0
"Total","Total","Doctoral degree","2016","Total",469,185,284
"Total","Total","Doctoral degree","2016","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2016","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2016","Personal skills",0,0,0
"Total","Total","Doctoral degree","2016","Teacher training and educational science",52,13,39
"Total","Total","Doctoral degree","2016","Arts",0,0,0
"Total","Total","Doctoral degree","2016","Humanities",101,43,58
"Total","Total","Doctoral degree","2016","Social and behavioural science",53,14,39
"Total","Total","Doctoral degree","2016","Journalism and information",5,0,5
"Total","Total","Doctoral degree","2016","Business and administration",19,8,11
"Total","Total","Doctoral degree","2016","Law",8,3,5
"Total","Total","Doctoral degree","2016","Life science",42,20,22
"Total","Total","Doctoral degree","2016","Physical science",55,32,23
"Total","Total","Doctoral degree","2016","Mathematics and statistics",7,3,4
