Year,Sex,Age,Education,Income and taxes,Unit,Value
2016,Women,Total,Bachelor's or equivalent level,Income from work,Number - total,20804000.0
2016,Total,Total,Master's or equivalent level,Income from work,Number - total,20505000.0
2016,Men,Total,Master's or equivalent level,Income from work,Number - total,9522000.0
2016,Women,Total,Master's or equivalent level,Income from work,Number - total,10983000.0
2016,Total,Total,Doctoral or equivalent level,Income from work,Number - total,1688000.0
2016,Men,Total,Doctoral or equivalent level,Income from work,Number - total,1070000.0
2016,Women,Total,Doctoral or equivalent level,Income from work,Number - total,618000.0
2016,Total,Total,Total,Income from work,Standard deviation - total,4549000.0
2016,Total,16 - 24 years,Total,Income from work,Standard deviation - total,1702000.0
2016,Total,75 years and over,Total,Income from work,Standard deviation - total,888000.0
2016,Men,Total,Total,Income from work,Standard deviation - total,5309000.0
2016,Men,16 - 24 years,Total,Income from work,Standard deviation - total,1925000.0
2016,Men,75 years and over,Total,Income from work,Standard deviation - total,1184000.0
2016,Women,Total,Total,Income from work,Standard deviation - total,3444000.0
2016,Women,16 - 24 years,Total,Income from work,Standard deviation - total,1414000.0
2016,Women,75 years and over,Total,Income from work,Standard deviation - total,557000.0
2016,Total,Total,Basic education,Income from work,Standard deviation - total,3122000.0
2016,Total,16 - 24 years,Basic education,Income from work,Standard deviation - total,1638000.0
2016,Total,75 years and over,Basic education,Income from work,Standard deviation - total,492000.0
2016,Men,Total,Basic education,Income from work,Standard deviation - total,3643000.0
2016,Men,16 - 24 years,Basic education,Income from work,Standard deviation - total,1851000.0
2016,Men,75 years and over,Basic education,Income from work,Standard deviation - total,546000.0
2016,Women,Total,Basic education,Income from work,Standard deviation - total,2262000.0
2016,Women,16 - 24 years,Basic education,Income from work,Standard deviation - total,1290000.0
2016,Women,75 years and over,Basic education,Income from work,Standard deviation - total,470000.0
2016,Total,Total,Upper secondary education,Income from work,Standard deviation - total,3991000.0
2016,Total,16 - 24 years,Upper secondary education,Income from work,Standard deviation - total,1671000.0
2016,Total,75 years and over,Upper secondary education,Income from work,Standard deviation - total,1047000.0
2016,Men,Total,Upper secondary education,Income from work,Standard deviation - total,4623000.0
2016,Men,16 - 24 years,Upper secondary education,Income from work,Standard deviation - total,1949000.0
2016,Men,75 years and over,Upper secondary education,Income from work,Standard deviation - total,1215000.0
2016,Women,Total,Upper secondary education,Income from work,Standard deviation - total,2616000.0
2016,Women,16 - 24 years,Upper secondary education,Income from work,Standard deviation - total,1381000.0
2016,Women,75 years and over,Upper secondary education,Income from work,Standard deviation - total,487000.0
2016,Total,Total,Upper secondary education: vocational,Income from work,Standard deviation - total,4430000.0
2016,Total,16 - 24 years,Upper secondary education: vocational,Income from work,Standard deviation - total,2368000.0
2016,Total,75 years and over,Upper secondary education: vocational,Income from work,Standard deviation - total,1063000.0
2016,Men,Total,Upper secondary education: vocational,Income from work,Standard deviation - total,4930000.0
2016,Men,16 - 24 years,Upper secondary education: vocational,Income from work,Standard deviation - total,2593000.0
2016,Men,75 years and over,Upper secondary education: vocational,Income from work,Standard deviation - total,1225000.0
2016,Women,Total,Upper secondary education: vocational,Income from work,Standard deviation - total,2761000.0
2016,Women,16 - 24 years,Upper secondary education: vocational,Income from work,Standard deviation - total,1628000.0
2016,Women,75 years and over,Upper secondary education: vocational,Income from work,Standard deviation - total,376000.0
2016,Total,Total,Upper secondary education: general,Income from work,Standard deviation - total,3262000.0
2016,Total,16 - 24 years,Upper secondary education: general,Income from work,Standard deviation - total,1478000.0
2016,Total,75 years and over,Upper secondary education: general,Income from work,Standard deviation - total,883000.0
2016,Men,Total,Upper secondary education: general,Income from work,Standard deviation - total,3949000.0
2016,Men,16 - 24 years,Upper secondary education: general,Income from work,Standard deviation - total,1649000.0
2016,Men,75 years and over,Upper secondary education: general,Income from work,Standard deviation - total,978000.0
2016,Women,Total,Upper secondary education: general,Income from work,Standard deviation - total,2486000.0
2016,Women,16 - 24 years,Upper secondary education: general,Income from work,Standard deviation - total,1343000.0
2016,Women,75 years and over,Upper secondary education: general,Income from work,Standard deviation - total,825000.0
2016,Total,Total,Tertiary education,Income from work,Standard deviation - total,5697000.0
2016,Total,16 - 24 years,Tertiary education,Income from work,Standard deviation - total,1788000.0
2016,Total,75 years and over,Tertiary education,Income from work,Standard deviation - total,1808000.0
2016,Men,Total,Tertiary education,Income from work,Standard deviation - total,7146000.0
2016,Men,16 - 24 years,Tertiary education,Income from work,Standard deviation - total,2003000.0
2016,Men,75 years and over,Tertiary education,Income from work,Standard deviation - total,2052000.0
2016,Women,Total,Tertiary education,Income from work,Standard deviation - total,4088000.0
2016,Women,16 - 24 years,Tertiary education,Income from work,Standard deviation - total,1598000.0
2016,Women,75 years and over,Tertiary education,Income from work,Standard deviation - total,1293000.0
2016,Total,Total,Short-cycle tertiary education,Income from work,Standard deviation - total,4369000.0
2016,Men,Total,Short-cycle tertiary education,Income from work,Standard deviation - total,4968000.0
2016,Women,Total,Short-cycle tertiary education,Income from work,Standard deviation - total,3401000.0
2016,Total,Total,Bachelor's or equivalent level,Income from work,Standard deviation - total,4812000.0
2016,Men,Total,Bachelor's or equivalent level,Income from work,Standard deviation - total,6115000.0
2016,Women,Total,Bachelor's or equivalent level,Income from work,Standard deviation - total,3605000.0
2016,Total,Total,Master's or equivalent level,Income from work,Standard deviation - total,6875000.0
2016,Men,Total,Master's or equivalent level,Income from work,Standard deviation - total,8591000.0
2016,Women,Total,Master's or equivalent level,Income from work,Standard deviation - total,4687000.0
2016,Total,Total,Doctoral or equivalent level,Income from work,Standard deviation - total,7630000.0
2016,Men,Total,Doctoral or equivalent level,Income from work,Standard deviation - total,8568000.0
2016,Women,Total,Doctoral or equivalent level,Income from work,Standard deviation - total,5388000.0
2016,Total,Total,Total,Taxes,Mean - total,1392000.0
2016,Total,16 - 24 years,Total,Taxes,Mean - total,330000.0
2016,Total,75 years and over,Total,Taxes,Mean - total,806000.0
2016,Men,Total,Total,Taxes,Mean - total,1701000.0
2016,Men,16 - 24 years,Total,Taxes,Mean - total,387000.0
2016,Men,75 years and over,Total,Taxes,Mean - total,936000.0
2016,Women,Total,Total,Taxes,Mean - total,1090000.0
2016,Women,16 - 24 years,Total,Taxes,Mean - total,270000.0
2016,Women,75 years and over,Total,Taxes,Mean - total,706000.0
2016,Total,Total,Basic education,Taxes,Mean - total,869000.0
2016,Total,16 - 24 years,Basic education,Taxes,Mean - total,264000.0
2016,Total,75 years and over,Basic education,Taxes,Mean - total,595000.0
2016,Men,Total,Basic education,Taxes,Mean - total,1079000.0
2016,Men,16 - 24 years,Basic education,Taxes,Mean - total,327000.0
2016,Men,75 years and over,Basic education,Taxes,Mean - total,614000.0
2016,Women,Total,Basic education,Taxes,Mean - total,679000.0
2016,Women,16 - 24 years,Basic education,Taxes,Mean - total,186000.0
2016,Women,75 years and over,Basic education,Taxes,Mean - total,588000.0
2016,Total,Total,Upper secondary education,Taxes,Mean - total,1334000.0
2016,Total,16 - 24 years,Upper secondary education,Taxes,Mean - total,425000.0
2016,Total,75 years and over,Upper secondary education,Taxes,Mean - total,917000.0
2016,Men,Total,Upper secondary education,Taxes,Mean - total,1639000.0
2016,Men,16 - 24 years,Upper secondary education,Taxes,Mean - total,495000.0
2016,Men,75 years and over,Upper secondary education,Taxes,Mean - total,888000.0
2016,Women,Total,Upper secondary education,Taxes,Mean - total,932000.0
2016,Women,16 - 24 years,Upper secondary education,Taxes,Mean - total,367000.0
2016,Women,75 years and over,Upper secondary education,Taxes,Mean - total,983000.0
2016,Total,Total,Upper secondary education: vocational,Taxes,Mean - total,1565000.0
2016,Total,16 - 24 years,Upper secondary education: vocational,Taxes,Mean - total,651000.0
2016,Total,75 years and over,Upper secondary education: vocational,Taxes,Mean - total,879000.0
2016,Men,Total,Upper secondary education: vocational,Taxes,Mean - total,1821000.0
2016,Men,16 - 24 years,Upper secondary education: vocational,Taxes,Mean - total,774000.0
2016,Men,75 years and over,Upper secondary education: vocational,Taxes,Mean - total,865000.0
2016,Women,Total,Upper secondary education: vocational,Taxes,Mean - total,1066000.0
2016,Women,16 - 24 years,Upper secondary education: vocational,Taxes,Mean - total,418000.0
2016,Women,75 years and over,Upper secondary education: vocational,Taxes,Mean - total,915000.0
2016,Total,Total,Upper secondary education: general,Taxes,Mean - total,968000.0
2016,Total,16 - 24 years,Upper secondary education: general,Taxes,Mean - total,379000.0
2016,Total,75 years and over,Upper secondary education: general,Taxes,Mean - total,1339000.0
