Year,Sex,Age,Unit,value
2013,Total,18 - 66 years,Mean - conditional,509600
2013,Total,25 - 54 years,Mean - conditional,559700
2013,Total,25 - 64 years,Mean - conditional,566300
2013,Total,25 - 74 years,Mean - conditional,555900
2013,Total,55 - 74 years,Mean - conditional,548200
2013,Total,67 years and older,Mean - conditional,398500
2013,Total,75 years and older,Mean - conditional,337400
2013,Total,Total,Number - conditional,226955
2013,Total,16 - 24 years,Number - conditional,36745
2013,Total,16 - 64 years,Number - conditional,185963
2013,Total,16 - 74 years,Number - conditional,208251
2013,Total,18 - 66 years,Number - conditional,184346
2013,Total,25 - 54 years,Number - conditional,114705
2013,Total,25 - 64 years,Number - conditional,149218
2013,Total,25 - 74 years,Number - conditional,171506
2013,Total,55 - 74 years,Number - conditional,56801
2013,Total,67 years and older,Number - conditional,35324
2013,Total,75 years and older,Number - conditional,18704
2013,Men,Total,10%,128300
2013,Men,16 - 24 years,10%,28100
2013,Men,16 - 64 years,10%,113300
2013,Men,16 - 74 years,10%,123200
2013,Men,18 - 66 years,10%,148100
2013,Men,25 - 54 years,10%,212600
2013,Men,25 - 64 years,10%,220900
2013,Men,25 - 74 years,10%,223500
2013,Men,55 - 74 years,10%,241500
2013,Men,67 years and older,10%,228400
2013,Men,75 years and older,10%,223100
2013,Men,Total,20%,225200
2013,Men,16 - 24 years,20%,64100
2013,Men,16 - 64 years,20%,209200
2013,Men,16 - 74 years,20%,223500
2013,Men,18 - 66 years,20%,236700
2013,Men,25 - 54 years,20%,309100
2013,Men,25 - 64 years,20%,313500
2013,Men,25 - 74 years,20%,303500
2013,Men,55 - 74 years,20%,297600
2013,Men,67 years and older,20%,256500
2013,Men,75 years and older,20%,242100
2013,Men,Total,30%,287700
2013,Men,16 - 24 years,30%,96000
2013,Men,16 - 64 years,30%,293400
2013,Men,16 - 74 years,30%,298000
2013,Men,18 - 66 years,30%,318800
2013,Men,25 - 54 years,30%,397100
2013,Men,25 - 64 years,30%,399100
2013,Men,25 - 74 years,30%,379800
2013,Men,55 - 74 years,30%,352200
2013,Men,67 years and older,30%,275900
2013,Men,75 years and older,30%,259500
2013,Men,Total,40%,354600
2013,Men,16 - 24 years,40%,126300
2013,Men,16 - 64 years,40%,380800
2013,Men,16 - 74 years,40%,375700
2013,Men,18 - 66 years,40%,403800
2013,Men,25 - 54 years,40%,474500
2013,Men,25 - 64 years,40%,477800
2013,Men,25 - 74 years,40%,459300
2013,Men,55 - 74 years,40%,425300
2013,Men,67 years and older,40%,295800
2013,Men,75 years and older,40%,274900
2013,Men,Total,50%,439500
2013,Men,16 - 24 years,50%,158100
2013,Men,16 - 64 years,50%,469400
2013,Men,16 - 74 years,50%,462200
2013,Men,18 - 66 years,50%,488100
2013,Men,25 - 54 years,50%,550700
2013,Men,25 - 64 years,50%,554900
2013,Men,25 - 74 years,50%,538200
2013,Men,55 - 74 years,50%,510900
2013,Men,67 years and older,50%,320400
2013,Men,75 years and older,50%,290400
2013,Men,Total,60%,532200
2013,Men,16 - 24 years,60%,195100
2013,Men,16 - 64 years,60%,560300
2013,Men,16 - 74 years,60%,554300
2013,Men,18 - 66 years,60%,577500
2013,Men,25 - 54 years,60%,632200
2013,Men,25 - 64 years,60%,637600
2013,Men,25 - 74 years,60%,623200
2013,Men,55 - 74 years,60%,601100
2013,Men,67 years and older,60%,357700
2013,Men,75 years and older,60%,310300
2013,Men,Total,70%,638200
2013,Men,16 - 24 years,70%,240300
2013,Men,16 - 64 years,70%,663700
2013,Men,16 - 74 years,70%,658000
2013,Men,18 - 66 years,70%,679100
2013,Men,25 - 54 years,70%,731600
2013,Men,25 - 64 years,70%,738600
2013,Men,25 - 74 years,70%,724700
2013,Men,55 - 74 years,70%,707800
2013,Men,67 years and older,70%,428600
2013,Men,75 years and older,70%,341600
2013,Men,Total,80%,780500
2013,Men,16 - 24 years,80%,306100
2013,Men,16 - 64 years,80%,805600
2013,Men,16 - 74 years,80%,799500
2013,Men,18 - 66 years,80%,821400
2013,Men,25 - 54 years,80%,873600
2013,Men,25 - 64 years,80%,882800
2013,Men,25 - 74 years,80%,866200
2013,Men,55 - 74 years,80%,852000
2013,Men,67 years and older,80%,558000
2013,Men,75 years and older,80%,403200
2013,Men,Total,90%,1038700
2013,Men,16 - 24 years,90%,404000
2013,Men,16 - 64 years,90%,1069600
2013,Men,16 - 74 years,90%,1062100
2013,Men,18 - 66 years,90%,1090900
2013,Men,25 - 54 years,90%,1155900
2013,Men,25 - 64 years,90%,1171300
2013,Men,25 - 74 years,90%,1148100
2013,Men,55 - 74 years,90%,1131400
2013,Men,67 years and older,90%,788000
2013,Men,75 years and older,90%,559700
2013,Men,Total,95%,1370300
2013,Men,16 - 24 years,95%,492600
2013,Men,16 - 64 years,95%,1417100
2013,Men,16 - 74 years,95%,1402000
2013,Men,18 - 66 years,95%,1442600
2013,Men,25 - 54 years,95%,1518100
2013,Men,25 - 64 years,95%,1538500
2013,Men,25 - 74 years,95%,1510600
2013,Men,55 - 74 years,95%,1494400
2013,Men,67 years and older,95%,1032800
2013,Men,75 years and older,95%,767200
2013,Men,Total,99%,2402900
2013,Men,16 - 24 years,99%,778400
2013,Men,16 - 64 years,99%,2446400
2013,Men,16 - 74 years,99%,2431300
2013,Men,18 - 66 years,99%,2488000
2013,Men,25 - 54 years,99%,2572400
2013,Men,25 - 64 years,99%,2620300
2013,Men,25 - 74 years,99%,2594400
2013,Men,55 - 74 years,99%,2617300
2013,Men,67 years and older,99%,1985100
2013,Men,75 years and older,99%,1498100
2013,Men,Total,Mean - conditional,554900
2013,Men,16 - 24 years,Mean - conditional,197500
2013,Men,16 - 64 years,Mean - conditional,569400
2013,Men,16 - 74 years,Mean - conditional,569300
2013,Men,18 - 66 years,Mean - conditional,592500
2013,Men,25 - 54 years,Mean - conditional,655200
2013,Men,25 - 64 years,Mean - conditional,663600
2013,Men,25 - 74 years,Mean - conditional,651300
2013,Men,55 - 74 years,Mean - conditional,643500
2013,Men,67 years and older,Mean - conditional,454900
2013,Men,75 years and older,Mean - conditional,369600
2013,Men,Total,Number - conditional,111638
2013,Men,16 - 24 years,Number - conditional,18718
2013,Men,16 - 64 years,Number - conditional,92627
2013,Men,16 - 74 years,Number - conditional,103572
2013,Men,18 - 66 years,Number - conditional,91713
2013,Men,25 - 54 years,Number - conditional,56688
2013,Men,25 - 64 years,Number - conditional,73909
2013,Men,25 - 74 years,Number - conditional,84854
2013,Men,55 - 74 years,Number - conditional,28166
2013,Men,67 years and older,Number - conditional,16197
2013,Men,75 years and older,Number - conditional,8066
2013,Women,Total,10%,120000
2013,Women,16 - 24 years,10%,39400
2013,Women,16 - 64 years,10%,109200
2013,Women,16 - 74 years,10%,117400
2013,Women,18 - 66 years,10%,135800
2013,Women,25 - 54 years,10%,176500
2013,Women,25 - 64 years,10%,185600
2013,Women,25 - 74 years,10%,194000
2013,Women,55 - 74 years,10%,223200
2013,Women,67 years and older,10%,222800
2013,Women,75 years and older,10%,197400
2013,Women,Total,20%,208800
2013,Women,16 - 24 years,20%,75300
2013,Women,16 - 64 years,20%,188200
2013,Women,16 - 74 years,20%,201300
2013,Women,18 - 66 years,20%,211500
2013,Women,25 - 54 years,20%,255100
2013,Women,25 - 64 years,20%,259200
2013,Women,25 - 74 years,20%,253900
2013,Women,55 - 74 years,20%,252600
2013,Women,67 years and older,20%,233300
2013,Women,75 years and older,20%,224700
2013,Women,Total,30%,251900
2013,Women,16 - 24 years,30%,103800
2013,Women,16 - 64 years,30%,250400
2013,Women,16 - 74 years,30%,253700
2013,Women,18 - 66 years,30%,266300
2013,Women,25 - 54 years,30%,310800
2013,Women,25 - 64 years,30%,311800
2013,Women,25 - 74 years,30%,298900
2013,Women,55 - 74 years,30%,284200
2013,Women,67 years and older,30%,251800
2013,Women,75 years and older,30%,243700
2013,Women,Total,40%,289600
2013,Women,16 - 24 years,40%,129400
2013,Women,16 - 64 years,40%,304900
2013,Women,16 - 74 years,40%,300100
2013,Women,18 - 66 years,40%,317000
2013,Women,25 - 54 years,40%,363000
2013,Women,25 - 64 years,40%,362700
2013,Women,25 - 74 years,40%,345800
2013,Women,55 - 74 years,40%,318400
2013,Women,67 years and older,40%,264400
2013,Women,75 years and older,40%,259500
2013,Women,Total,50%,335100
2013,Women,16 - 24 years,50%,156400
2013,Women,16 - 64 years,50%,360500
2013,Women,16 - 74 years,50%,351400
2013,Women,18 - 66 years,50%,371600
2013,Women,25 - 54 years,50%,418000
2013,Women,25 - 64 years,50%,418200
2013,Women,25 - 74 years,50%,399900
2013,Women,55 - 74 years,50%,362100
2013,Women,67 years and older,50%,280000
2013,Women,75 years and older,50%,270800
2013,Women,Total,60%,394700
2013,Women,16 - 24 years,60%,186000
2013,Women,16 - 64 years,60%,424700
2013,Women,16 - 74 years,60%,413800
2013,Women,18 - 66 years,60%,434200
2013,Women,25 - 54 years,60%,473700
2013,Women,25 - 64 years,60%,475000
2013,Women,25 - 74 years,60%,458800
2013,Women,55 - 74 years,60%,422500
2013,Women,67 years and older,60%,299300
2013,Women,75 years and older,60%,285000
2013,Women,Total,70%,467400
2013,Women,16 - 24 years,70%,220300
2013,Women,16 - 64 years,70%,493900
2013,Women,16 - 74 years,70%,484500
2013,Women,18 - 66 years,70%,501900
2013,Women,25 - 54 years,70%,536800
2013,Women,25 - 64 years,70%,538600
2013,Women,25 - 74 years,70%,523800
2013,Women,55 - 74 years,70%,494300
2013,Women,67 years and older,70%,326900
2013,Women,75 years and older,70%,306300
2013,Women,Total,80%,555600
2013,Women,16 - 24 years,80%,261800
2013,Women,16 - 64 years,80%,579900
2013,Women,16 - 74 years,80%,571300
2013,Women,18 - 66 years,80%,588100
2013,Women,25 - 54 years,80%,623000
2013,Women,25 - 64 years,80%,625000
2013,Women,25 - 74 years,80%,611100
2013,Women,55 - 74 years,80%,582700
2013,Women,67 years and older,80%,373500
2013,Women,75 years and older,80%,337300
2013,Women,Total,90%,706000
2013,Women,16 - 24 years,90%,325100
2013,Women,16 - 64 years,90%,730800
2013,Women,16 - 74 years,90%,722000
2013,Women,18 - 66 years,90%,739000
2013,Women,25 - 54 years,90%,774500
2013,Women,25 - 64 years,90%,777400
2013,Women,25 - 74 years,90%,763100
2013,Women,55 - 74 years,90%,737700
2013,Women,67 years and older,90%,498500
2013,Women,75 years and older,90%,416500
2013,Women,Total,95%,868800
2013,Women,16 - 24 years,95%,381900
2013,Women,16 - 64 years,95%,897100
2013,Women,16 - 74 years,95%,887100
2013,Women,18 - 66 years,95%,907100
2013,Women,25 - 54 years,95%,953000
2013,Women,25 - 64 years,95%,953400
2013,Women,25 - 74 years,95%,938200
2013,Women,55 - 74 years,95%,903100
2013,Women,67 years and older,95%,651500
2013,Women,75 years and older,95%,548500
2013,Women,Total,99%,1419300
2013,Women,16 - 24 years,99%,547600
2013,Women,16 - 64 years,99%,1452100
2013,Women,16 - 74 years,99%,1453000
2013,Women,18 - 66 years,99%,1473000
2013,Women,25 - 54 years,99%,1546100
2013,Women,25 - 64 years,99%,1552600
2013,Women,25 - 74 years,99%,1548000
2013,Women,55 - 74 years,99%,1561000
2013,Women,67 years and older,99%,1176600
2013,Women,75 years and older,99%,973100
2013,Women,Total,Mean - conditional,403800
2013,Women,16 - 24 years,Mean - conditional,175400
2013,Women,16 - 64 years,Mean - conditional,413700
2013,Women,16 - 74 years,Mean - conditional,413000
2013,Women,18 - 66 years,Mean - conditional,427500
2013,Women,25 - 54 years,Mean - conditional,466400
2013,Women,25 - 64 years,Mean - conditional,470800
2013,Women,25 - 74 years,Mean - conditional,462400
2013,Women,55 - 74 years,Mean - conditional,454500
2013,Women,67 years and older,Mean - conditional,350800
2013,Women,75 years and older,Mean - conditional,313000
2013,Women,Total,Number - conditional,115317
2013,Women,16 - 24 years,Number - conditional,18027
2013,Women,16 - 64 years,Number - conditional,93336
2013,Women,16 - 74 years,Number - conditional,104679
2013,Women,18 - 66 years,Number - conditional,92633
2013,Women,25 - 54 years,Number - conditional,58017
2013,Women,25 - 64 years,Number - conditional,75309
2013,Women,25 - 74 years,Number - conditional,86652
2013,Women,55 - 74 years,Number - conditional,28635
2013,Women,67 years and older,Number - conditional,19127
2013,Women,75 years and older,Number - conditional,10638
2014,Total,Total,10%,129400
2014,Total,16 - 24 years,10%,32600
2014,Total,16 - 64 years,10%,115500
2014,Total,16 - 74 years,10%,125500
2014,Total,18 - 66 years,10%,150700
2014,Total,25 - 54 years,10%,204000
2014,Total,25 - 64 years,10%,213200
2014,Total,25 - 74 years,10%,222400
2014,Total,55 - 74 years,10%,236700
2014,Total,67 years and older,10%,231400
2014,Total,75 years and older,10%,231000
2014,Total,Total,20%,231100
2014,Total,16 - 24 years,20%,71700
2014,Total,16 - 64 years,20%,208300
2014,Total,16 - 74 years,20%,224900
2014,Total,18 - 66 years,20%,234700
2014,Total,25 - 54 years,20%,293700
2014,Total,25 - 64 years,20%,296800
2014,Total,25 - 74 years,20%,291100
2014,Total,55 - 74 years,20%,287900
2014,Total,67 years and older,20%,255900
2014,Total,75 years and older,20%,245800
2014,Total,Total,30%,282600
2014,Total,16 - 24 years,30%,103300
2014,Total,16 - 64 years,30%,283800
2014,Total,16 - 74 years,30%,288400
2014,Total,18 - 66 years,30%,305700
2014,Total,25 - 54 years,30%,364600
2014,Total,25 - 64 years,30%,365400
2014,Total,25 - 74 years,30%,350500
2014,Total,55 - 74 years,30%,331400
2014,Total,67 years and older,30%,277100
2014,Total,75 years and older,30%,268500
2014,Total,Total,40%,335200
2014,Total,16 - 24 years,40%,134200
2014,Total,16 - 64 years,40%,353500
2014,Total,16 - 74 years,40%,350000
2014,Total,18 - 66 years,40%,372600
2014,Total,25 - 54 years,40%,433400
2014,Total,25 - 64 years,40%,434600
2014,Total,25 - 74 years,40%,415800
2014,Total,55 - 74 years,40%,384200
2014,Total,67 years and older,40%,297800
2014,Total,75 years and older,40%,282200
2014,Total,Total,50%,400700
2014,Total,16 - 24 years,50%,165800
2014,Total,16 - 64 years,50%,429300
2014,Total,16 - 74 years,50%,421200
2014,Total,18 - 66 years,50%,446300
2014,Total,25 - 54 years,50%,501500
2014,Total,25 - 64 years,50%,504500
2014,Total,25 - 74 years,50%,486800
2014,Total,55 - 74 years,50%,452900
2014,Total,67 years and older,50%,321800
2014,Total,75 years and older,50%,298800
2014,Total,Total,60%,481300
2014,Total,16 - 24 years,60%,201600
2014,Total,16 - 64 years,60%,510500
2014,Total,16 - 74 years,60%,502300
2014,Total,18 - 66 years,60%,525600
2014,Total,25 - 54 years,60%,573400
2014,Total,25 - 64 years,60%,577400
2014,Total,25 - 74 years,60%,561600
2014,Total,55 - 74 years,60%,534300
2014,Total,67 years and older,60%,352900
2014,Total,75 years and older,60%,320300
2014,Total,Total,70%,574300
2014,Total,16 - 24 years,70%,242900
2014,Total,16 - 64 years,70%,600900
2014,Total,16 - 74 years,70%,593500
2014,Total,18 - 66 years,70%,615200
2014,Total,25 - 54 years,70%,660300
2014,Total,25 - 64 years,70%,665100
2014,Total,25 - 74 years,70%,649700
2014,Total,55 - 74 years,70%,627400
2014,Total,67 years and older,70%,399100
2014,Total,75 years and older,70%,349400
2014,Total,Total,80%,697100
2014,Total,16 - 24 years,80%,299200
2014,Total,16 - 64 years,80%,723900
2014,Total,16 - 74 years,80%,716700
2014,Total,18 - 66 years,80%,737700
2014,Total,25 - 54 years,80%,784500
2014,Total,25 - 64 years,80%,790700
2014,Total,25 - 74 years,80%,775300
2014,Total,55 - 74 years,80%,754700
2014,Total,67 years and older,80%,488300
2014,Total,75 years and older,80%,397400
2014,Total,Total,90%,920300
2014,Total,16 - 24 years,90%,382700
2014,Total,16 - 64 years,90%,953500
2014,Total,16 - 74 years,90%,943700
2014,Total,18 - 66 years,90%,969500
2014,Total,25 - 54 years,90%,1019600
2014,Total,25 - 64 years,90%,1031300
2014,Total,25 - 74 years,90%,1010400
2014,Total,55 - 74 years,90%,989100
2014,Total,67 years and older,90%,687200
2014,Total,75 years and older,90%,524100
2014,Total,Total,95%,1185800
2014,Total,16 - 24 years,95%,461000
2014,Total,16 - 64 years,95%,1226100
2014,Total,16 - 74 years,95%,1214100
2014,Total,18 - 66 years,95%,1247000
2014,Total,25 - 54 years,95%,1312800
2014,Total,25 - 64 years,95%,1335100
2014,Total,25 - 74 years,95%,1305400
2014,Total,55 - 74 years,95%,1288300
2014,Total,67 years and older,95%,903100
2014,Total,75 years and older,95%,705200
2014,Total,Total,99%,2136700
2014,Total,16 - 24 years,99%,689800
2014,Total,16 - 64 years,99%,2198900
2014,Total,16 - 74 years,99%,2180200
2014,Total,18 - 66 years,99%,2232000
2014,Total,25 - 54 years,99%,2287900
2014,Total,25 - 64 years,99%,2370500
2014,Total,25 - 74 years,99%,2330400
2014,Total,55 - 74 years,99%,2399400
2014,Total,67 years and older,99%,1665000
2014,Total,75 years and older,99%,1329500
2014,Total,Total,Mean - conditional,508900
2014,Total,16 - 24 years,Mean - conditional,195800
2014,Total,16 - 64 years,Mean - conditional,521200
2014,Total,16 - 74 years,Mean - conditional,521200
2014,Total,18 - 66 years,Mean - conditional,542600
2014,Total,25 - 54 years,Mean - conditional,592600
2014,Total,25 - 64 years,Mean - conditional,602200
2014,Total,25 - 74 years,Mean - conditional,591400
2014,Total,55 - 74 years,Mean - conditional,589100
2014,Total,67 years and older,Mean - conditional,432500
2014,Total,75 years and older,Mean - conditional,370500
2014,Total,Total,Number - conditional,230053
2014,Total,16 - 24 years,Number - conditional,37466
2014,Total,16 - 64 years,Number - conditional,187919
2014,Total,16 - 74 years,Number - conditional,211171
2014,Total,18 - 66 years,Number - conditional,185774
2014,Total,25 - 54 years,Number - conditional,115044
2014,Total,25 - 64 years,Number - conditional,150453
2014,Total,25 - 74 years,Number - conditional,173705
2014,Total,55 - 74 years,Number - conditional,58661
2014,Total,67 years and older,Number - conditional,36337
2014,Total,75 years and older,Number - conditional,18882
2014,Men,Total,10%,133700
2014,Men,16 - 24 years,10%,27900
2014,Men,16 - 64 years,10%,117200
2014,Men,16 - 74 years,10%,128100
2014,Men,18 - 66 years,10%,156800
2014,Men,25 - 54 years,10%,225300
2014,Men,25 - 64 years,10%,231500
2014,Men,25 - 74 years,10%,235600
2014,Men,55 - 74 years,10%,255900
2014,Men,67 years and older,10%,241400
2014,Men,75 years and older,10%,231400
2014,Men,Total,20%,238200
2014,Men,16 - 24 years,20%,66300
2014,Men,16 - 64 years,20%,220400
2014,Men,16 - 74 years,20%,232800
2014,Men,18 - 66 years,20%,251500
2014,Men,25 - 54 years,20%,327800
2014,Men,25 - 64 years,20%,332200
2014,Men,25 - 74 years,20%,324600
2014,Men,55 - 74 years,20%,319700
2014,Men,67 years and older,20%,272300
2014,Men,75 years and older,20%,257000
2014,Men,Total,30%,307400
2014,Men,16 - 24 years,30%,99000
2014,Men,16 - 64 years,30%,311000
2014,Men,16 - 74 years,30%,317200
2014,Men,18 - 66 years,30%,339200
2014,Men,25 - 54 years,30%,418600
2014,Men,25 - 64 years,30%,421700
2014,Men,25 - 74 years,30%,402800
2014,Men,55 - 74 years,30%,378100
2014,Men,67 years and older,30%,296700
